state,statecode,year,accountability,veto,alliance,gini_disp,ed,CP
Angola,ANG,2001,0.351,0,0,50.3,2.449,1
Argentina,ARG,2001,0.936,1,0,46.4,8.41,0
Armenia,ARM,2001,0.638,1,0,38.8,10.624,1
Australia,AUL,2001,0.97,0,0,31.8,13.005,1
Austria,AUS,2001,0.97,0,0,26.7,13.005,0
Belarus,BLR,2001,0.27,1,0,24.5,9.894,1
Belgium,BEL,2001,0.951,0,1,26.5,10.786,0
Bolivia,BOL,2001,0.887,1,0,53.4,7.745,0
Botswana,BOT,2001,0.897,0,0,58.6,9.19,0
Brazil,BRA,2001,0.945,1,0,52.4,7.6,0
Bulgaria,BUL,2001,0.906,1,0,32.2,10.686,0
Burkina Faso,BFO,2001,0.805,1,0,46,0.938,0
Cameroon,CAO,2001,0.537,0,0,44.6,4.704,1
Canada,CAN,2001,0.94,0,1,31.1,12.864,1
Chile,CHL,2001,0.959,1,0,50.3,9.991,0
China,CHN,2001,0.196,1,0,39.9,6.963,1
Colombia,COL,2001,0.807,0,0,52.5,7.021,1
Costa Rica,COS,2001,0.971,1,0,45.2,6.951,0
Croatia,CRO,2001,0.89,1,0,53.7,0,0
Cyprus,CYP,2001,0.914,0,0,27.2,8.544,0
Czech Republic,CZR,2001,0.949,1,1,29.7,10.803,0
Denmark,DEN,2001,0.977,1,1,22.8,12.025,0
Djibouti,DJI,2001,0.409,1,0,42,0,0
Dominican Republic,DOM,2001,0.805,0,0,47.1,6.021,0
Ecuador,ECU,2001,0.854,0,0,49.7,8.066,0
Egypt,EGY,2001,0.384,1,0,41.4,6.919,0
El Salvador,SAL,2001,0.762,1,0,46.8,5.309,0
Estonia,EST,2001,0.956,1,0,34.9,11.28,0
Ethiopia,ETH,2001,0.358,1,0,33.1,0,0
Finland,FIN,2001,0.971,0,0,25,11.526,0
France,FRN,2001,0.952,1,1,27.9,11.902,1
Georgia,GRG,2001,0.63,1,0,37.6,10.695,1
Germany,GMY,2001,0.979,1,1,26.8,12.899,1
Ghana,GHA,2001,0.923,0,0,41.9,5.322,0
Greece,GRC,2001,0.954,0,1,33.3,9.953,1
Guatemala,GUA,2001,0.801,1,0,49.9,4.978,0
Honduras,HON,2001,0.742,1,0,50.6,5.466,1
Hungary,HUN,2001,0.928,1,1,27.2,10.794,0
Iceland,ICE,2001,0.944,0,1,30.1,10.68,0
India,IND,2001,0.915,0,0,44.7,4.543,1
Iran,IRN,2001,0.551,0,0,42,5.593,1
Ireland,IRE,2001,0.952,1,0,31.5,10.204,0
Israel,ISR,2001,0.922,0,0,35.1,10.517,0
Italy,ITA,2001,0.948,1,1,33.4,10.347,0
Jamaica,JAM,2001,0.882,1,0,42,8.72,0
Japan,JPN,2001,0.941,0,0,31,12.736,1
Jordan,JOR,2001,0.548,0,0,38.1,8.137,0
Kazakhstan,KZK,2001,0.415,1,0,29.3,11.025,0
Kenya,KEN,2001,0.689,0,0,46.8,6.118,0
Korea,KOR,2001,0.947,1,0,31.1,12.208,0
Kyrgyzstan,KYR,2001,0.478,1,0,35.1,10.176,0
Laos,LAO,2001,0.131,1,0,35.5,4.623,0
Latvia,LAT,2001,0.925,1,0,33.4,10.3,0
Lesotho,LES,2001,0.728,0,0,51.5,5.453,0
Lithuania,LIT,2001,0.938,1,0,32.2,10.331,1
Malawi,MAW,2001,0.767,0,0,47.4,4.09,0
Malaysia,MAL,2001,0.456,1,0,42.5,9.018,0
Malta,MLT,2001,0.887,0,0,28,0,0
Mauritania,MAA,2001,0.517,1,0,41,3.491,0
Mauritius,MAS,2001,0.938,0,0,37.7,7.292,0
Mexico,MEX,2001,0.847,1,0,48.3,8.075,0
Moldova,MLD,2001,0.716,1,0,38.3,9.695,0
Mongolia,MON,2001,0.886,1,0,34.4,0,0
Morocco,MOR,2001,0.619,0,0,41.2,3.769,0
Mozambique,MZM,2001,0.706,0,0,45.3,2.419,0
Namibia,NAM,2001,0.865,1,0,66.8,5.916,0
Netherlands,NTH,2001,0.956,1,1,25.3,11.305,1
New Zealand,NEW,2001,0.961,0,0,32.6,12.141,0
Nicaragua,NIC,2001,0.807,0,0,48.6,6.51,1
Niger,NIR,2001,0.795,1,0,39.7,1.058,0
Nigeria,NIG,2001,0.801,0,0,43.6,4.039,0
Norway,NOR,2001,0.971,0,1,24.8,12.429,1
Pakistan,PAK,2001,0.582,0,0,34,4.395,1
Panama,PAN,2001,0.889,1,0,51.1,8.673,0
Paraguay,PAR,2001,0.782,1,0,51.6,6.71,0
Peru,PER,2001,0.9,1,0,51.5,8.393,0
Philippines,PHI,2001,0.84,1,0,42.7,7.988,1
Poland,POL,2001,0.957,1,1,29.5,8.897,0
Portugal,POR,2001,0.954,1,1,33.6,7.388,1
Romania,ROM,2001,0.824,1,0,29.3,9.845,0
Russia,RUS,2001,0.618,0,0,36.4,9.43,1
Rwanda,RWA,2001,0.321,0,0,50.9,2.845,1
Serbia,0,2001,0.857,1,0,42.4,0,0
Seychelles,SEY,2001,0.616,0,0,34.2,9.9,0
Sierra Leone,SIE,2001,0.62,0,0,43.9,3.666,1
Singapore,SIN,2001,0.573,1,0,36.9,9.389,0
Slovakia,SLO,2001,0.93,1,0,38,10.669,0
South Africa,SAF,2001,0.924,0,0,60.1,7.484,0
Spain,SPN,2001,0.96,1,1,31.2,9.576,1
Sri Lanka,SRI,2001,0.697,1,0,41.5,6.989,0
Sudan,SUD,2001,0.213,1,0,40.4,0,1
Sweden,SWD,2001,0.975,1,0,20.8,11.562,0
Switzerland,SWZ,2001,0.962,0,0,31,12.629,0
Taiwan,TAW,2001,0.924,1,0,29.7,0,1
Tajikistan,TAJ,2001,0.348,1,0,41.2,9.507,1
Tanzania,TAZ,2001,0.81,1,0,43.1,3.425,0
Thailand,THI,2001,0.823,1,0,43.5,7.64,1
Tunisia,TUN,2001,0.244,1,0,41,5.446,0
Turkey,TUR,2001,0.801,1,1,41.8,6.345,1
Uganda,UGA,2001,0.624,1,0,44.6,3.451,1
Ukraine,UKR,2001,0.663,1,0,29.6,10.942,0
United Kingdom,UKG,2001,0.957,0,1,34.1,13.093,1
United States of America,USA,2001,0.955,1,1,37.3,13.07,1
Uruguay,URU,2001,0.956,1,0,41.1,8.404,0
Venezuela,VEN,2001,0.715,0,0,42.2,6.45,0
Vietnam,DRV,2001,0.365,1,0,33.9,5.351,0
Yemen,YEM,2001,0.477,0,0,36.7,0,0
Zambia,ZAM,2001,0.806,1,0,54.2,5.985,1
Zimbabwe,ZIM,2001,0.416,0,0,48.3,7.329,0
Angola,ANG,2002,0.344,0,0,50.3,2.508,1
Argentina,ARG,2002,0.932,1,0,46.3,8.45,1
Armenia,ARM,2002,0.63,1,0,38.5,10.645,1
Australia,AUL,2002,0.969,0,0,31.8,13.02,0
Austria,AUS,2002,0.969,0,0,26.9,13.02,0
Belarus,BLR,2002,0.267,1,0,24.4,9.929,0
Belgium,BEL,2002,0.951,0,1,26.6,10.842,0
Bolivia,BOL,2002,0.877,1,0,53.2,7.803,0
Botswana,BOT,2002,0.896,0,0,58.7,9.267,0
Brazil,BRA,2002,0.948,1,0,52,7.66,0
Bulgaria,BUL,2002,0.906,1,0,32.4,10.752,0
Burkina Faso,BFO,2002,0.799,1,0,45.7,0.993,0
Cameroon,CAO,2002,0.556,0,0,44.6,4.748,0
Canada,CAN,2002,0.937,0,1,31.1,12.888,0
Chile,CHL,2002,0.959,1,0,50,10.032,0
China,CHN,2002,0.202,1,0,41,7.044,1
Colombia,COL,2002,0.807,0,0,52.3,7.086,0
Costa Rica,COS,2002,0.971,1,0,45.4,7.012,0
Croatia,CRO,2002,0.89,1,0,53.9,0,1
Cyprus,CYP,2002,0.914,0,0,27.2,8.63,1
Czech Republic,CZR,2002,0.955,1,1,29.7,10.852,0
Denmark,DEN,2002,0.977,1,1,23,12.03,0
Djibouti,DJI,2002,0.434,1,0,42.1,0,0
Dominican Republic,DOM,2002,0.805,0,0,47.3,6.092,0
Ecuador,ECU,2002,0.848,0,0,49.4,8.123,0
Egypt,EGY,2002,0.379,1,0,41.3,7.008,0
El Salvador,SAL,2002,0.762,1,0,46.4,5.378,0
Estonia,EST,2002,0.956,1,0,34.6,11.3,0
Ethiopia,ETH,2002,0.357,1,0,33,0,1
Finland,FIN,2002,0.971,0,0,24.9,11.582,0
France,FRN,2002,0.952,1,1,28,11.964,0
Georgia,GRG,2002,0.628,1,0,37.6,10.718,0
Germany,GMY,2002,0.979,1,1,27,12.908,0
Ghana,GHA,2002,0.925,0,0,42.1,5.354,0
Greece,GRC,2002,0.955,0,1,33.1,10.036,1
Guatemala,GUA,2002,0.802,1,0,49.7,5.036,0
Honduras,HON,2002,0.733,1,0,51.3,5.502,0
Hungary,HUN,2002,0.931,1,1,27.3,10.838,0
Iceland,ICE,2002,0.945,0,1,30,10.759,0
India,IND,2002,0.917,0,0,45.6,4.576,1
Iran,IRN,2002,0.541,0,0,41.8,5.666,1
Ireland,IRE,2002,0.951,1,0,31.4,10.258,0
Israel,ISR,2002,0.923,0,0,35.4,10.539,1
Italy,ITA,2002,0.95,1,1,33.2,10.414,0
Jamaica,JAM,2002,0.9,1,0,42.1,8.76,0
Japan,JPN,2002,0.941,0,0,31.1,12.782,1
Jordan,JOR,2002,0.547,0,0,37.9,8.252,0
Kazakhstan,KZK,2002,0.411,1,0,29.1,11.105,0
Kenya,KEN,2002,0.73,0,0,46.7,6.156,1
Korea,KOR,2002,0.949,1,0,31.1,12.296,0
Kyrgyzstan,KYR,2002,0.474,1,0,34.8,10.184,0
Laos,LAO,2002,0.138,1,0,35.5,4.723,0
Latvia,LAT,2002,0.927,1,0,33.9,10.38,0
Lesotho,LES,2002,0.821,0,0,51.3,5.579,0
Lithuania,LIT,2002,0.938,1,0,32.4,10.47,0
Malawi,MAW,2002,0.766,0,0,47,4.165,0
Malaysia,MAL,2002,0.462,1,0,42.3,9.086,0
Malta,MLT,2002,0.887,0,0,27.9,0,0
Mauritania,MAA,2002,0.515,1,0,40.9,3.602,0
Mauritius,MAS,2002,0.939,0,0,37.7,7.352,0
Mexico,MEX,2002,0.852,1,0,47.9,8.12,0
Moldova,MLD,2002,0.746,1,0,38.1,9.727,0
Mongolia,MON,2002,0.888,1,0,34.4,0,0
Morocco,MOR,2002,0.638,0,0,41.2,3.838,1
Mozambique,MZM,2002,0.704,0,0,45.4,2.448,0
Namibia,NAM,2002,0.863,1,0,66.8,5.94,0
Netherlands,NTH,2002,0.955,1,1,25.6,11.33,0
New Zealand,NEW,2002,0.96,0,0,32.5,12.162,0
Nicaragua,NIC,2002,0.806,0,0,47.9,6.57,0
Niger,NIR,2002,0.793,1,0,39.8,1.086,0
Nigeria,NIG,2002,0.803,0,0,43.5,4.088,0
Norway,NOR,2002,0.971,0,1,25.8,12.448,0
Pakistan,PAK,2002,0.607,0,0,34.1,4.57,1
Panama,PAN,2002,0.889,1,0,51,8.716,0
Paraguay,PAR,2002,0.78,1,0,51.7,6.75,0
Peru,PER,2002,0.91,1,0,52,8.446,0
Philippines,PHI,2002,0.833,1,0,42.5,8.016,1
Poland,POL,2002,0.956,1,1,30,8.986,0
Portugal,POR,2002,0.957,1,1,33.8,7.436,0
Romania,ROM,2002,0.822,1,0,29.8,9.902,0
Russia,RUS,2002,0.583,0,0,36.1,9.45,1
Rwanda,RWA,2002,0.322,0,0,51,2.915,1
Serbia,0,2002,0.889,1,0,42.3,0,0
Seychelles,SEY,2002,0.62,0,0,34.5,9.956,0
Sierra Leone,SIE,2002,0.781,0,0,44,3.702,1
Singapore,SIN,2002,0.574,1,0,37,9.516,0
Slovakia,SLO,2002,0.933,1,0,37.9,10.725,0
South Africa,SAF,2002,0.925,0,0,60.2,7.528,0
Spain,SPN,2002,0.961,1,1,31,9.652,1
Sri Lanka,SRI,2002,0.7,1,0,41.7,7.037,0
Sudan,SUD,2002,0.212,1,0,40.4,0,1
Sweden,SWD,2002,0.975,1,0,21.1,11.594,0
Switzerland,SWZ,2002,0.962,0,0,30.9,12.638,0
Taiwan,TAW,2002,0.925,1,0,30,0,1
Tajikistan,TAJ,2002,0.346,1,0,41.7,9.49,0
Tanzania,TAZ,2002,0.81,1,0,43.3,3.449,1
Thailand,THI,2002,0.821,1,0,43.4,7.67,1
Tunisia,TUN,2002,0.242,1,0,40.9,5.544,0
Turkey,TUR,2002,0.832,1,1,41.6,6.39,1
Uganda,UGA,2002,0.608,1,0,44.7,3.572,1
Ukraine,UKR,2002,0.66,1,0,29.4,11.005,0
United Kingdom,UKG,2002,0.956,0,1,34,13.116,1
United States of America,USA,2002,0.959,1,1,37.4,13.13,1
Uruguay,URU,2002,0.956,1,0,41.7,8.438,0
Venezuela,VEN,2002,0.671,0,0,42.1,6.47,0
Vietnam,DRV,2002,0.365,1,0,34.1,5.482,1
Yemen,YEM,2002,0.477,0,0,36.8,0,0
Zambia,ZAM,2002,0.819,1,0,54.3,6.026,0
Zimbabwe,ZIM,2002,0.421,0,0,48.2,7.395,1
Angola,ANG,2003,0.374,0,0,50.2,2.567,0
Argentina,ARG,2003,0.923,1,0,45.8,8.49,0
Armenia,ARM,2003,0.589,1,0,38.3,10.667,0
Australia,AUL,2003,0.968,0,0,31.7,13.035,1
Austria,AUS,2003,0.968,0,0,26.9,13.035,0
Belarus,BLR,2003,0.263,1,0,24.3,9.963,0
Belgium,BEL,2003,0.95,0,1,26.6,10.898,0
Bolivia,BOL,2003,0.886,1,0,52.7,7.861,0
Botswana,BOT,2003,0.897,0,0,58.7,9.345,0
Brazil,BRA,2003,0.948,1,0,51.4,7.72,1
Bulgaria,BUL,2003,0.907,1,0,32.6,10.818,0
Burkina Faso,BFO,2003,0.801,1,0,45.5,1.047,0
Cameroon,CAO,2003,0.558,0,0,44.7,4.792,0
Canada,CAN,2003,0.937,0,1,31,12.912,0
Chile,CHL,2003,0.958,1,0,49.8,10.073,0
China,CHN,2003,0.213,1,0,41.5,7.124,1
Colombia,COL,2003,0.816,0,0,52,7.151,1
Costa Rica,COS,2003,0.971,1,0,45.2,7.073,0
Croatia,CRO,2003,0.887,1,0,54.2,0,0
Cyprus,CYP,2003,0.909,0,0,27.2,8.717,0
Czech Republic,CZR,2003,0.956,1,1,29.6,10.901,0
Denmark,DEN,2003,0.977,1,1,23.1,12.035,1
Djibouti,DJI,2003,0.42,1,0,42.2,0,0
Dominican Republic,DOM,2003,0.806,0,0,47.7,6.163,0
Ecuador,ECU,2003,0.848,0,0,49.1,8.18,0
Egypt,EGY,2003,0.38,1,0,41.2,7.097,0
El Salvador,SAL,2003,0.764,1,0,45.7,5.447,0
Estonia,EST,2003,0.956,1,0,34.4,11.319,0
Ethiopia,ETH,2003,0.358,1,0,33,0,1
Finland,FIN,2003,0.97,0,0,25.1,11.638,0
France,FRN,2003,0.952,1,1,28,12.026,0
Georgia,GRG,2003,0.65,1,0,37.6,10.741,1
Germany,GMY,2003,0.978,1,1,27.2,12.917,0
Ghana,GHA,2003,0.925,0,0,42.3,5.386,0
Greece,GRC,2003,0.955,0,1,32.8,10.119,0
Guatemala,GUA,2003,0.802,1,0,49.3,5.094,0
Honduras,HON,2003,0.742,1,0,51.8,5.538,0
Hungary,HUN,2003,0.934,1,1,27.7,10.882,0
Iceland,ICE,2003,0.945,0,1,29.5,10.837,0
India,IND,2003,0.915,0,0,46.6,4.609,1
Iran,IRN,2003,0.537,0,0,41.4,5.739,1
Ireland,IRE,2003,0.951,1,0,31.3,10.312,0
Israel,ISR,2003,0.923,0,0,35.8,10.561,1
Italy,ITA,2003,0.949,1,1,33.1,10.481,0
Jamaica,JAM,2003,0.9,1,0,42,8.8,0
Japan,JPN,2003,0.941,0,0,30.9,12.828,1
Jordan,JOR,2003,0.598,0,0,37.7,8.368,0
Kazakhstan,KZK,2003,0.405,1,0,28.9,11.186,0
Kenya,KEN,2003,0.797,0,0,46.6,6.194,1
Korea,KOR,2003,0.948,1,0,31,12.384,0
Kyrgyzstan,KYR,2003,0.464,1,0,34.7,10.191,0
Laos,LAO,2003,0.134,1,0,35.6,4.823,0
Latvia,LAT,2003,0.927,1,0,34.5,10.459,0
Lesotho,LES,2003,0.821,0,0,51.2,5.706,0
Lithuania,LIT,2003,0.937,1,0,32.9,10.609,0
Malawi,MAW,2003,0.767,0,0,46.7,4.241,0
Malaysia,MAL,2003,0.468,1,0,42.1,9.154,1
Malta,MLT,2003,0.887,0,0,27.8,0,0
Mauritania,MAA,2003,0.503,1,0,40.8,3.712,1
Mauritius,MAS,2003,0.938,0,0,37.8,7.411,0
Mexico,MEX,2003,0.863,1,0,47.5,8.165,0
Moldova,MLD,2003,0.744,1,0,37.9,9.759,1
Mongolia,MON,2003,0.888,1,0,34.5,0,0
Morocco,MOR,2003,0.629,0,0,41.3,3.907,0
Mozambique,MZM,2003,0.707,0,0,45.4,2.477,0
Namibia,NAM,2003,0.866,1,0,66.7,5.963,0
Netherlands,NTH,2003,0.956,1,1,25.9,11.355,1
New Zealand,NEW,2003,0.961,0,0,32.4,12.183,0
Nicaragua,NIC,2003,0.804,0,0,47.3,6.63,0
Niger,NIR,2003,0.792,1,0,39.8,1.114,0
Nigeria,NIG,2003,0.777,0,0,43.5,4.137,0
Norway,NOR,2003,0.971,0,1,26.4,12.467,0
Pakistan,PAK,2003,0.629,0,0,34.2,4.745,0
Panama,PAN,2003,0.889,1,0,50.6,8.759,0
Paraguay,PAR,2003,0.801,1,0,51.2,6.79,0
Peru,PER,2003,0.91,1,0,52.4,8.499,1
Philippines,PHI,2003,0.83,1,0,42.5,8.044,1
Poland,POL,2003,0.956,1,1,30.9,9.075,1
Portugal,POR,2003,0.957,1,1,33.9,7.484,0
Romania,ROM,2003,0.829,1,0,30.4,9.959,0
Russia,RUS,2003,0.553,0,0,36.6,9.47,1
Rwanda,RWA,2003,0.362,0,0,51.2,2.986,0
Serbia,0,2003,0.884,1,0,42.3,0,0
Seychelles,SEY,2003,0.639,0,0,34.6,10.012,0
Sierra Leone,SIE,2003,0.788,0,0,44.1,3.738,0
Singapore,SIN,2003,0.574,1,0,37.1,9.642,1
Slovakia,SLO,2003,0.932,1,0,37.7,10.782,0
South Africa,SAF,2003,0.924,0,0,60.3,7.572,0
Spain,SPN,2003,0.96,1,1,30.8,9.728,1
Sri Lanka,SRI,2003,0.7,1,0,41.9,7.085,0
Sudan,SUD,2003,0.214,1,0,40.4,0,1
Sweden,SWD,2003,0.975,1,0,21.3,11.626,0
Switzerland,SWZ,2003,0.965,0,0,30.9,12.647,1
Taiwan,TAW,2003,0.923,1,0,30.2,0,1
Tajikistan,TAJ,2003,0.353,1,0,42.2,9.472,0
Tanzania,TAZ,2003,0.812,1,0,43.5,3.474,0
Thailand,THI,2003,0.809,1,0,43.2,7.7,1
Tunisia,TUN,2003,0.241,1,0,40.8,5.642,0
Turkey,TUR,2003,0.839,1,1,41.5,6.435,1
Uganda,UGA,2003,0.593,1,0,44.8,3.693,1
Ukraine,UKR,2003,0.671,1,0,29.2,11.068,1
United Kingdom,UKG,2003,0.956,0,1,33.9,13.139,1
United States of America,USA,2003,0.962,1,1,37.8,13.19,1
Uruguay,URU,2003,0.956,1,0,42,8.472,0
Venezuela,VEN,2003,0.654,0,0,41.8,6.49,1
Vietnam,DRV,2003,0.363,1,0,34.1,5.613,1
Yemen,YEM,2003,0.513,0,0,36.8,0,0
Zambia,ZAM,2003,0.818,1,0,54.5,6.067,0
Zimbabwe,ZIM,2003,0.415,0,0,48.2,7.46,0
Angola,ANG,2004,0.375,0,0,50.2,2.626,0
Argentina,ARG,2004,0.918,1,0,44.9,8.53,0
Armenia,ARM,2004,0.587,1,0,38,10.688,0
Australia,AUL,2004,0.969,0,0,31.7,13.05,0
Austria,AUS,2004,0.969,0,0,26.9,13.05,0
Belarus,BLR,2004,0.252,1,0,24.2,9.998,0
Belgium,BEL,2004,0.948,0,1,26.7,10.954,0
Bolivia,BOL,2004,0.894,1,0,52.1,7.919,0
Botswana,BOT,2004,0.899,0,0,58.6,9.423,0
Brazil,BRA,2004,0.95,1,0,50.8,7.78,0
Bulgaria,BUL,2004,0.909,1,1,32.9,10.884,0
Burkina Faso,BFO,2004,0.802,1,0,45.1,1.102,0
Cameroon,CAO,2004,0.556,0,0,44.7,4.836,0
Canada,CAN,2004,0.936,0,1,31.3,12.936,1
Chile,CHL,2004,0.958,1,0,49.2,10.114,0
China,CHN,2004,0.217,1,0,41.9,7.205,1
Colombia,COL,2004,0.815,0,0,52.2,7.215,0
Costa Rica,COS,2004,0.971,1,0,45,7.134,0
Croatia,CRO,2004,0.881,1,0,54.4,0,0
Cyprus,CYP,2004,0.922,0,0,27.5,8.804,0
Czech Republic,CZR,2004,0.956,1,1,29.6,10.951,0
Denmark,DEN,2004,0.977,1,1,23.1,12.04,1
Djibouti,DJI,2004,0.421,1,0,42.2,0,0
Dominican Republic,DOM,2004,0.802,0,0,47.9,6.234,1
Ecuador,ECU,2004,0.847,0,0,48.7,8.237,0
Egypt,EGY,2004,0.383,1,0,41.1,7.186,1
El Salvador,SAL,2004,0.765,1,0,44.9,5.516,0
Estonia,EST,2004,0.957,1,1,34.1,11.339,0
Ethiopia,ETH,2004,0.353,1,0,32.9,0,1
Finland,FIN,2004,0.97,0,0,25.4,11.694,0
France,FRN,2004,0.952,1,1,28.1,12.088,1
Georgia,GRG,2004,0.785,1,0,37.8,10.764,1
Germany,GMY,2004,0.977,1,1,27.6,12.926,0
Ghana,GHA,2004,0.925,0,0,42.5,5.418,0
Greece,GRC,2004,0.955,0,1,32.9,10.202,1
Guatemala,GUA,2004,0.806,1,0,48.6,5.152,0
Honduras,HON,2004,0.743,1,0,52.1,5.574,0
Hungary,HUN,2004,0.933,1,1,27.7,10.926,0
Iceland,ICE,2004,0.945,0,1,29,10.916,0
India,IND,2004,0.912,0,0,47.6,4.642,1
Iran,IRN,2004,0.485,0,0,41.1,5.812,1
Ireland,IRE,2004,0.951,1,0,31.3,10.366,0
Israel,ISR,2004,0.924,0,0,36.2,10.583,1
Italy,ITA,2004,0.95,1,1,33.1,10.548,0
Jamaica,JAM,2004,0.9,1,0,41.9,8.84,0
Japan,JPN,2004,0.94,0,0,30.5,12.874,1
Jordan,JOR,2004,0.595,0,0,37.5,8.483,0
Kazakhstan,KZK,2004,0.409,1,0,28.7,11.266,0
Kenya,KEN,2004,0.796,0,0,46.5,6.232,1
Korea,KOR,2004,0.948,1,0,31,12.472,0
Kyrgyzstan,KYR,2004,0.466,1,0,34.9,10.198,0
Laos,LAO,2004,0.136,1,0,35.7,4.923,0
