state,statecode,year,accountability,veto,alliance,gini_disp,ed,CP
Laos,LAO,2011,0.141,1,0,36.4,5.523,0
Latvia,LAT,2011,0.931,1,1,35.4,11.015,1
Lesotho,LES,2011,0.802,0,0,50.3,6.589,0
Lithuania,LIT,2011,0.947,1,1,33.7,11.584,1
Malawi,MAW,2011,0.796,0,0,45.8,4.77,0
Malaysia,MAL,2011,0.536,1,0,40.6,9.63,0
Malta,MLT,2011,0.902,0,0,27.3,0,0
Mauritania,MAA,2011,0.708,1,0,38.9,4.486,0
Mauritius,MAS,2011,0.94,0,0,38.3,7.828,0
Mexico,MEX,2011,0.842,1,0,45.4,8.48,0
Moldova,MLD,2011,0.86,1,0,35,9.986,0
Mongolia,MON,2011,0.901,1,0,34.6,0,0
Morocco,MOR,2011,0.683,0,0,41.2,4.39,0
Mozambique,MZM,2011,0.703,0,0,46.4,2.68,0
Namibia,NAM,2011,0.861,1,0,66.1,6.126,0
Netherlands,NTH,2011,0.964,1,1,26.1,11.53,1
New Zealand,NEW,2011,0.966,0,0,32,12.33,0
Nicaragua,NIC,2011,0.574,1,0,43.2,7.05,0
Niger,NIR,2011,0.835,1,0,38.1,1.31,0
Nigeria,NIG,2011,0.825,0,0,43.5,4.48,0
Norway,NOR,2011,0.973,0,1,24.6,12.6,1
Pakistan,PAK,2011,0.731,0,0,34.3,5.97,1
Panama,PAN,2011,0.893,1,0,47.4,9.06,0
Paraguay,PAR,2011,0.85,1,0,47.9,7.07,0
Peru,PER,2011,0.923,1,0,46.4,8.87,0
Philippines,PHI,2011,0.855,1,0,41.7,8.24,1
Poland,POL,2011,0.961,1,1,30.8,9.696,1
Portugal,POR,2011,0.961,1,1,33.4,7.82,1
Romania,ROM,2011,0.877,1,1,32.7,10.357,1
Russia,RUS,2011,0.474,0,0,35.5,9.61,1
Rwanda,RWA,2011,0.397,0,0,51.1,3.478,0
Serbia,0,2011,0.866,1,0,41.7,0,0
Seychelles,SEY,2011,0.717,0,0,34,10.405,0
Sierra Leone,SIE,2011,0.778,1,0,43.7,3.99,0
Singapore,SIN,2011,0.603,1,0,38.3,10.53,0
Slovakia,SLO,2011,0.938,1,1,19.5,11.176,1
South Africa,SAF,2011,0.924,0,0,60.8,7.88,0
Spain,SPN,2011,0.966,1,1,31,10.26,1
Sri Lanka,SRI,2011,0.602,1,0,44,7.421,0
Sudan,SUD,2011,0.336,1,0,40.4,0,1
Sweden,SWD,2011,0.976,1,0,23.2,11.85,1
Switzerland,SWZ,2011,0.967,0,0,30.2,12.71,0
Taiwan,TAW,2011,0.917,1,0,30.7,0,1
Tajikistan,TAJ,2011,0.273,1,0,42.7,9.352,1
Tanzania,TAZ,2011,0.819,0,0,44.5,3.645,0
Thailand,THI,2011,0.791,1,0,40.9,7.91,1
Tunisia,TUN,2011,0.886,1,0,39.6,6.331,1
Turkey,TUR,2011,0.745,1,1,39.8,6.75,1
Uganda,UGA,2011,0.642,1,0,44.7,4.54,0
Ukraine,UKR,2011,0.713,1,0,26.9,11.512,0
United Kingdom,UKG,2011,0.956,0,1,33.5,13.3,1
United States of America,USA,2011,0.97,1,1,37.9,13.61,1
Uruguay,URU,2011,0.968,1,0,38.2,8.71,0
Venezuela,VEN,2011,0.486,0,0,36.9,6.63,0
Vietnam,DRV,2011,0.388,1,0,34.9,6.532,1
Yemen,YEM,2011,0.546,1,0,37.1,0,0
Zambia,ZAM,2011,0.818,1,0,55.6,6.354,0
Zimbabwe,ZIM,2011,0.485,0,0,47.7,7.918,0
Angola,ANG,2012,0.428,0,0,49.7,2.98,0
Argentina,ARG,2012,0.902,1,0,38.6,8.77,1
Armenia,ARM,2012,0.625,1,0,35.9,10.818,0
Australia,AUL,2012,0.976,0,0,32.5,13.14,0
Austria,AUS,2012,0.976,0,0,27.8,13.14,0
Belarus,BLR,2012,0.25,1,0,24.2,10.205,0
Belgium,BEL,2012,0.958,0,1,26.1,11.29,1
Bolivia,BOL,2012,0.813,1,0,43.9,8.268,0
Botswana,BOT,2012,0.896,0,0,58.7,9.889,0
Brazil,BRA,2012,0.957,1,0,46.9,8.14,0
Bulgaria,BUL,2012,0.885,1,1,35,11.28,0
Burkina Faso,BFO,2012,0.847,1,0,42.7,1.428,0
Cameroon,CAO,2012,0.568,0,0,45.2,5.1,0
Canada,CAN,2012,0.927,0,1,31.5,13.08,0
Chile,CHL,2012,0.971,1,0,46.5,10.36,0
China,CHN,2012,0.2,1,0,42.2,7.688,1
Colombia,COL,2012,0.879,0,0,50.3,7.604,0
Costa Rica,COS,2012,0.974,1,0,46.1,7.5,0
Croatia,CRO,2012,0.937,1,1,55.5,0,0
Cyprus,CYP,2012,0.93,0,0,29.5,9.325,0
Czech Republic,CZR,2012,0.957,1,1,30.4,11.247,0
Denmark,DEN,2012,0.979,1,1,25.2,12.07,1
Djibouti,DJI,2012,0.391,1,0,43.1,0,0
Dominican Republic,DOM,2012,0.784,0,0,44.3,6.66,0
Ecuador,ECU,2012,0.701,0,0,42.8,8.579,0
Egypt,EGY,2012,0.638,1,0,42.8,7.72,0
El Salvador,SAL,2012,0.839,1,0,39.8,5.93,0
Estonia,EST,2012,0.966,1,1,32.8,11.456,0
Ethiopia,ETH,2012,0.325,1,0,33.1,0,1
Finland,FIN,2012,0.97,1,0,25.3,12.03,0
France,FRN,2012,0.959,1,1,30.1,12.46,0
Georgia,GRG,2012,0.777,1,0,39.6,10.902,1
Germany,GMY,2012,0.98,1,1,28.9,12.98,1
Ghana,GHA,2012,0.929,0,0,43.5,5.61,1
Greece,GRC,2012,0.961,0,1,33.2,10.7,1
Guatemala,GUA,2012,0.809,1,0,46.6,5.5,0
Honduras,HON,2012,0.649,1,0,49.2,5.79,0
Hungary,HUN,2012,0.883,1,1,27.7,11.19,0
Iceland,ICE,2012,0.946,0,1,25.3,11.388,0
India,IND,2012,0.897,0,0,49.5,4.84,1
Iran,IRN,2012,0.394,0,0,37.8,6.25,1
Ireland,IRE,2012,0.957,1,0,30.5,10.69,0
Israel,ISR,2012,0.919,0,0,36.7,10.716,1
Italy,ITA,2012,0.962,1,1,33.4,10.95,1
Jamaica,JAM,2012,0.918,1,0,41,9.08,0
Japan,JPN,2012,0.945,0,0,32,13.15,1
Jordan,JOR,2012,0.653,0,0,36.4,9.177,1
Kazakhstan,KZK,2012,0.379,1,0,26.3,11.748,0
Kenya,KEN,2012,0.816,1,0,45.7,6.46,0
Korea,KOR,2012,0.896,1,0,31.4,13,0
Kyrgyzstan,KYR,2012,0.746,1,0,33.4,10.242,1
Laos,LAO,2012,0.142,1,0,36.5,5.523,0
Latvia,LAT,2012,0.933,1,1,35.3,11.015,0
Lesotho,LES,2012,0.819,0,0,50.2,6.589,0
Lithuania,LIT,2012,0.945,1,1,34.3,11.584,1
Malawi,MAW,2012,0.812,0,0,45.7,4.77,0
Malaysia,MAL,2012,0.537,1,0,40.5,9.63,0
Malta,MLT,2012,0.901,0,0,27.3,0,0
Mauritania,MAA,2012,0.709,1,0,38.7,4.486,0
Mauritius,MAS,2012,0.94,0,0,38.3,7.828,0
Mexico,MEX,2012,0.838,1,0,45.2,8.48,0
Moldova,MLD,2012,0.857,1,0,34.4,9.986,0
Mongolia,MON,2012,0.903,1,0,34.6,0,0
Morocco,MOR,2012,0.685,0,0,41.2,4.39,0
Mozambique,MZM,2012,0.7,0,0,46.6,2.68,0
Namibia,NAM,2012,0.862,1,0,66.1,6.126,0
Netherlands,NTH,2012,0.962,1,1,26.2,11.53,0
New Zealand,NEW,2012,0.966,0,0,32.1,12.33,0
Nicaragua,NIC,2012,0.551,1,0,43.2,7.05,0
Niger,NIR,2012,0.864,1,0,38,1.31,0
Nigeria,NIG,2012,0.827,1,0,43.3,4.48,0
Norway,NOR,2012,0.972,0,1,24.7,12.6,1
Pakistan,PAK,2012,0.735,0,0,34.3,5.97,1
Panama,PAN,2012,0.893,1,0,47.2,9.06,0
Paraguay,PAR,2012,0.831,1,0,46.6,7.07,0
Peru,PER,2012,0.928,1,0,46,8.87,0
Philippines,PHI,2012,0.856,1,0,41.6,8.24,0
Poland,POL,2012,0.96,1,1,30.9,9.696,0
Portugal,POR,2012,0.961,1,1,33.3,7.82,0
Romania,ROM,2012,0.869,1,1,32.9,10.357,0
Russia,RUS,2012,0.459,0,0,35.2,9.61,1
Rwanda,RWA,2012,0.403,0,0,51,3.478,1
Serbia,0,2012,0.852,1,0,41.6,0,0
Seychelles,SEY,2012,0.717,0,0,34,10.405,0
Sierra Leone,SIE,2012,0.772,1,0,43.5,3.99,0
Singapore,SIN,2012,0.604,1,0,38.3,10.53,0
Slovakia,SLO,2012,0.932,1,1,20.7,11.176,0
South Africa,SAF,2012,0.925,0,0,60.9,7.88,0
Spain,SPN,2012,0.96,1,1,31.6,10.26,1
Sri Lanka,SRI,2012,0.604,1,0,44.3,7.421,0
Sudan,SUD,2012,0.333,1,0,40.4,0,1
Sweden,SWD,2012,0.977,1,0,23.5,11.85,0
Switzerland,SWZ,2012,0.967,0,0,29.9,12.71,0
Taiwan,TAW,2012,0.918,1,0,30.4,0,1
Tajikistan,TAJ,2012,0.271,1,0,42.7,9.352,1
Tanzania,TAZ,2012,0.816,0,0,44.5,3.645,0
Thailand,THI,2012,0.805,1,0,40.6,7.91,0
Tunisia,TUN,2012,0.923,1,0,39.4,6.331,0
Turkey,TUR,2012,0.738,1,1,39.6,6.75,1
Uganda,UGA,2012,0.638,1,0,44.5,4.54,0
Ukraine,UKR,2012,0.689,1,0,26.8,11.512,0
United Kingdom,UKG,2012,0.958,0,1,33.3,13.3,1
United States of America,USA,2012,0.971,1,1,38.1,13.61,1
Uruguay,URU,2012,0.967,1,0,36.7,8.71,0
Venezuela,VEN,2012,0.476,0,0,36.7,6.63,0
Vietnam,DRV,2012,0.382,1,0,34.7,6.532,1
Yemen,YEM,2012,0.593,1,0,37.1,0,0
Zambia,ZAM,2012,0.818,1,0,55.6,6.354,0
Zimbabwe,ZIM,2012,0.484,0,0,47.7,7.918,0
Angola,ANG,2013,0.427,0,0,49.8,2.98,1
Argentina,ARG,2013,0.909,1,0,38.1,8.77,0
Armenia,ARM,2013,0.606,1,0,36.3,10.818,0
Australia,AUL,2013,0.971,0,0,32.6,13.14,0
Austria,AUS,2013,0.971,0,0,27.8,13.14,0
Belarus,BLR,2013,0.274,1,0,24.2,10.205,0
Belgium,BEL,2013,0.96,0,1,26.2,11.29,0
Bolivia,BOL,2013,0.805,1,0,43.5,8.268,0
Botswana,BOT,2013,0.896,0,0,58.6,9.889,0
Brazil,BRA,2013,0.96,1,0,46.3,8.14,0
Bulgaria,BUL,2013,0.874,1,1,35.6,11.28,0
Burkina Faso,BFO,2013,0.848,1,0,42.4,1.428,0
Cameroon,CAO,2013,0.555,0,0,45.2,5.1,0
Canada,CAN,2013,0.928,0,1,31.7,13.08,0
Chile,CHL,2013,0.969,1,0,46.1,10.36,0
China,CHN,2013,0.172,1,0,41.4,7.688,1
Colombia,COL,2013,0.887,0,0,49.8,7.604,1
Costa Rica,COS,2013,0.973,1,0,46.3,7.5,0
Croatia,CRO,2013,0.923,1,1,55.6,0,0
Cyprus,CYP,2013,0.93,0,0,29.5,9.325,0
Czech Republic,CZR,2013,0.947,1,1,30.6,11.247,0
Denmark,DEN,2013,0.979,1,1,25.2,12.07,0
Djibouti,DJI,2013,0.388,1,0,43.2,0,0
Dominican Republic,DOM,2013,0.774,0,0,43.9,6.66,0
Ecuador,ECU,2013,0.675,0,0,42.5,8.579,1
Egypt,EGY,2013,0.521,1,0,42.6,7.72,0
El Salvador,SAL,2013,0.84,1,0,39.5,5.93,0
Estonia,EST,2013,0.964,1,1,33.3,11.456,1
Ethiopia,ETH,2013,0.326,1,0,33.2,0,0
Finland,FIN,2013,0.973,1,0,25.5,12.03,1
France,FRN,2013,0.959,1,1,29.9,12.46,0
Georgia,GRG,2013,0.848,1,0,39.3,10.902,1
Germany,GMY,2013,0.975,1,1,29.1,12.98,0
Ghana,GHA,2013,0.923,0,0,43.6,5.61,0
Greece,GRC,2013,0.957,0,1,33.1,10.7,0
Guatemala,GUA,2013,0.814,1,0,46.1,5.5,0
Honduras,HON,2013,0.687,1,0,48.5,5.79,0
Hungary,HUN,2013,0.853,1,1,27.9,11.19,0
Iceland,ICE,2013,0.941,0,1,24.9,11.388,0
India,IND,2013,0.897,1,0,49.6,4.84,1
Iran,IRN,2013,0.443,0,0,37.7,6.25,1
Ireland,IRE,2013,0.957,1,0,30.4,10.69,0
Israel,ISR,2013,0.912,0,0,36.2,10.716,1
Italy,ITA,2013,0.96,1,1,33.5,10.95,0
Jamaica,JAM,2013,0.927,0,0,40.9,9.08,0
Japan,JPN,2013,0.937,0,0,31.9,13.15,1
Jordan,JOR,2013,0.669,0,0,36.4,9.177,1
Kazakhstan,KZK,2013,0.379,1,0,26.1,11.748,1
Kenya,KEN,2013,0.817,1,0,45.7,6.46,1
Korea,KOR,2013,0.885,1,0,31.7,13,0
Kyrgyzstan,KYR,2013,0.737,1,0,33.3,10.242,1
Laos,LAO,2013,0.144,1,0,36.6,5.523,0
Latvia,LAT,2013,0.938,1,1,35.2,11.015,0
Lesotho,LES,2013,0.831,0,0,50,6.589,0
Lithuania,LIT,2013,0.943,1,1,34.8,11.584,0
Malawi,MAW,2013,0.828,0,0,45.7,4.77,0
Malaysia,MAL,2013,0.526,1,0,40.3,9.63,0
Malta,MLT,2013,0.887,0,0,27.2,0,0
Mauritania,MAA,2013,0.637,1,0,38.5,4.486,0
Mauritius,MAS,2013,0.932,0,0,38.3,7.828,0
Mexico,MEX,2013,0.815,1,0,44.9,8.48,0
Moldova,MLD,2013,0.849,1,0,33.7,9.986,0
Mongolia,MON,2013,0.883,1,0,34.6,0,0
Morocco,MOR,2013,0.685,0,0,41.3,4.39,0
Mozambique,MZM,2013,0.7,0,0,46.9,2.68,0
Namibia,NAM,2013,0.867,1,0,66,6.126,0
Netherlands,NTH,2013,0.963,1,1,26.4,11.53,0
New Zealand,NEW,2013,0.964,0,0,32.4,12.33,0
Nicaragua,NIC,2013,0.446,0,0,43.1,7.05,0
Niger,NIR,2013,0.88,1,0,38,1.31,0
Nigeria,NIG,2013,0.84,1,0,43.3,4.48,0
Norway,NOR,2013,0.971,0,1,25.2,12.6,0
Pakistan,PAK,2013,0.731,0,0,34.2,5.97,1
Panama,PAN,2013,0.895,1,0,46.9,9.06,1
Paraguay,PAR,2013,0.793,1,0,46.7,7.07,0
Peru,PER,2013,0.925,1,0,45.6,8.87,0
Philippines,PHI,2013,0.864,1,0,41.5,8.24,1
Poland,POL,2013,0.96,1,1,31.3,9.696,0
Portugal,POR,2013,0.961,1,1,33.3,7.82,0
Romania,ROM,2013,0.877,1,1,33.2,10.357,0
Russia,RUS,2013,0.438,0,0,34.7,9.61,1
Rwanda,RWA,2013,0.414,0,0,50.8,3.478,1
Serbia,0,2013,0.792,1,0,41.5,0,0
Seychelles,SEY,2013,0.733,0,0,33.8,10.405,0
Sierra Leone,SIE,2013,0.769,1,0,43.4,3.99,0
Singapore,SIN,2013,0.603,0,0,38.4,10.53,0
Slovakia,SLO,2013,0.927,1,1,22,11.176,0
South Africa,SAF,2013,0.915,0,0,61,7.88,0
Spain,SPN,2013,0.952,1,1,32.3,10.26,1
Sri Lanka,SRI,2013,0.629,0,0,44.6,7.421,0
Sudan,SUD,2013,0.334,1,0,40.4,0,0
Sweden,SWD,2013,0.975,1,0,23,11.85,0
Switzerland,SWZ,2013,0.968,0,0,29.7,12.71,0
Taiwan,TAW,2013,0.918,1,0,30.5,0,1
Tajikistan,TAJ,2013,0.224,0,0,42.8,9.352,1
Tanzania,TAZ,2013,0.815,0,0,44.7,3.645,0
Thailand,THI,2013,0.76,0,0,40.2,7.91,1
Tunisia,TUN,2013,0.927,1,0,39.3,6.331,0
Turkey,TUR,2013,0.691,1,1,39.5,6.75,1
Uganda,UGA,2013,0.625,1,0,44.4,4.54,1
Ukraine,UKR,2013,0.698,1,0,26.7,11.512,1
United Kingdom,UKG,2013,0.954,0,1,33.4,13.3,1
United States of America,USA,2013,0.973,1,1,38.1,13.61,1
Uruguay,URU,2013,0.966,1,0,36.8,8.71,0
Venezuela,VEN,2013,0.396,0,0,36.5,6.63,1
Vietnam,DRV,2013,0.381,1,0,34.7,6.532,1
Yemen,YEM,2013,0.551,1,0,37.1,0,0
Zambia,ZAM,2013,0.779,0,0,55.7,6.354,0
Zimbabwe,ZIM,2013,0.548,0,0,47.8,7.918,0
Angola,ANG,2014,0.429,0,0,49.8,2.98,0
Argentina,ARG,2014,0.912,1,0,37.8,8.77,0
Armenia,ARM,2014,0.605,1,0,36.6,10.818,0
Australia,AUL,2014,0.971,0,0,32.7,13.14,0
Austria,AUS,2014,0.971,0,0,27.7,13.14,0
Belarus,BLR,2014,0.277,1,0,24.1,10.205,0
Belgium,BEL,2014,0.96,0,1,26.2,11.29,0
Bolivia,BOL,2014,0.789,1,0,43.1,8.268,0
Botswana,BOT,2014,0.894,0,0,58.5,9.889,0
Brazil,BRA,2014,0.958,1,0,46.3,8.14,0
Bulgaria,BUL,2014,0.878,1,1,36.2,11.28,0
Burkina Faso,BFO,2014,0.879,1,0,42.2,1.428,0
Cameroon,CAO,2014,0.553,0,0,45.3,5.1,0
Canada,CAN,2014,0.929,0,1,31.6,13.08,1
Chile,CHL,2014,0.97,1,0,45.9,10.36,0
China,CHN,2014,0.17,1,0,41.6,7.688,1
Colombia,COL,2014,0.89,0,0,49.3,7.604,0
Costa Rica,COS,2014,0.973,1,0,46.2,7.5,0
Croatia,CRO,2014,0.924,1,1,55.8,0,0
Cyprus,CYP,2014,0.928,0,0,29.4,9.325,0
Czech Republic,CZR,2014,0.943,1,1,30.6,11.247,0
Denmark,DEN,2014,0.979,1,1,25.6,12.07,0
Djibouti,DJI,2014,0.393,1,0,43.2,0,0
Dominican Republic,DOM,2014,0.773,0,0,43,6.66,0
Ecuador,ECU,2014,0.67,0,0,42,8.579,0
Egypt,EGY,2014,0.356,1,0,42.3,7.72,1
El Salvador,SAL,2014,0.857,1,0,38.9,5.93,0
Estonia,EST,2014,0.964,1,1,32.9,11.456,1
Ethiopia,ETH,2014,0.328,1,0,33.3,0,0
Finland,FIN,2014,0.973,1,0,25.3,12.03,1
France,FRN,2014,0.958,1,1,29.8,12.46,1
Georgia,GRG,2014,0.856,1,0,39,10.902,0
Germany,GMY,2014,0.974,1,1,29.2,12.98,1
Ghana,GHA,2014,0.919,0,0,43.6,5.61,0
Greece,GRC,2014,0.957,0,1,33,10.7,0
Guatemala,GUA,2014,0.82,1,0,45.5,5.5,0
Honduras,HON,2014,0.687,1,0,47.6,5.79,0
Hungary,HUN,2014,0.802,1,1,27.8,11.19,0
Iceland,ICE,2014,0.94,0,1,24.9,11.388,0
India,IND,2014,0.871,1,0,49.7,4.84,1
Iran,IRN,2014,0.443,0,0,37.7,6.25,1
Ireland,IRE,2014,0.957,1,0,30.2,10.69,0
Israel,ISR,2014,0.913,0,0,35.9,10.716,1
Italy,ITA,2014,0.96,1,1,33.6,10.95,0
Jamaica,JAM,2014,0.93,0,0,40.8,9.08,0
Japan,JPN,2014,0.936,0,0,31.7,13.15,0
Jordan,JOR,2014,0.671,0,0,36.4,9.177,0
Kazakhstan,KZK,2014,0.379,1,0,26,11.748,0
Kenya,KEN,2014,0.811,1,0,45.6,6.46,0
Korea,KOR,2014,0.883,1,0,32,13,0
Kyrgyzstan,KYR,2014,0.733,1,0,33.1,10.242,0
Laos,LAO,2014,0.143,1,0,36.6,5.523,0
Latvia,LAT,2014,0.942,1,1,35,11.015,0
Lesotho,LES,2014,0.83,0,0,49.9,6.589,0
Lithuania,LIT,2014,0.944,1,1,35.3,11.584,1
Malawi,MAW,2014,0.827,0,0,45.7,4.77,0
Malaysia,MAL,2014,0.526,1,0,40.2,9.63,1
Malta,MLT,2014,0.882,0,0,27.2,0,0
Mauritania,MAA,2014,0.647,1,0,38.2,4.486,0
Mauritius,MAS,2014,0.934,0,0,38.3,7.828,0
Mexico,MEX,2014,0.816,1,0,44.5,8.48,0
Moldova,MLD,2014,0.85,1,0,33,9.986,0
Mongolia,MON,2014,0.885,1,0,34.5,0,0
Morocco,MOR,2014,0.682,0,0,41.2,4.39,0
Mozambique,MZM,2014,0.712,0,0,47.1,2.68,0
Namibia,NAM,2014,0.879,1,0,65.9,6.126,0
Netherlands,NTH,2014,0.964,1,1,26.7,11.53,1
New Zealand,NEW,2014,0.964,0,0,32.6,12.33,0
Nicaragua,NIC,2014,0.444,0,0,43.1,7.05,0
Niger,NIR,2014,0.88,1,0,37.9,1.31,0
Nigeria,NIG,2014,0.841,1,0,43.1,4.48,0
Norway,NOR,2014,0.971,0,1,25.4,12.6,1
Pakistan,PAK,2014,0.724,0,0,34.2,5.97,1
Panama,PAN,2014,0.888,1,0,46.6,9.06,0
Paraguay,PAR,2014,0.799,1,0,46.5,7.07,0
Peru,PER,2014,0.926,1,0,45,8.87,0
Philippines,PHI,2014,0.861,1,0,41.3,8.24,1
Poland,POL,2014,0.953,1,1,30.4,9.696,1
Portugal,POR,2014,0.962,1,1,33.1,7.82,1
Romania,ROM,2014,0.884,1,1,33.6,10.357,0
Russia,RUS,2014,0.421,0,0,34,9.61,1
Rwanda,RWA,2014,0.417,0,0,50.8,3.478,1
Serbia,0,2014,0.75,1,0,41.5,0,0
Seychelles,SEY,2014,0.739,0,0,33.6,10.405,0
Sierra Leone,SIE,2014,0.772,1,0,43.2,3.99,0
Singapore,SIN,2014,0.601,0,0,38.5,10.53,0
Slovakia,SLO,2014,0.926,1,1,23.2,11.176,0
South Africa,SAF,2014,0.905,0,0,61.2,7.88,0
Spain,SPN,2014,0.951,1,1,31.8,10.26,1
Sri Lanka,SRI,2014,0.626,0,0,44.9,7.421,0
Sudan,SUD,2014,0.335,1,0,40.4,0,1
Sweden,SWD,2014,0.974,1,0,23.8,11.85,1
Switzerland,SWZ,2014,0.968,0,0,29.4,12.71,0
Taiwan,TAW,2014,0.921,1,0,30,0,1
Tajikistan,TAJ,2014,0.217,0,0,42.9,9.352,0
Tanzania,TAZ,2014,0.813,0,0,44.7,3.645,0
Thailand,THI,2014,0.342,1,0,39.9,7.91,1
Tunisia,TUN,2014,0.924,1,0,39.3,6.331,0
Turkey,TUR,2014,0.597,1,1,39.6,6.75,1
Uganda,UGA,2014,0.615,1,0,44.4,4.54,0
Ukraine,UKR,2014,0.648,1,0,26.7,11.512,1
United Kingdom,UKG,2014,0.953,0,1,33.5,13.3,1
United States of America,USA,2014,0.973,1,1,38.4,13.61,1
Uruguay,URU,2014,0.964,1,0,36.4,8.71,0
Venezuela,VEN,2014,0.383,0,0,36.3,6.63,0
Vietnam,DRV,2014,0.382,1,0,34.6,6.532,1
Yemen,YEM,2014,0.469,1,0,37.2,0,0
Zambia,ZAM,2014,0.777,0,0,55.7,6.354,0
Zimbabwe,ZIM,2014,0.525,0,0,47.8,7.918,0
